time_s,time_star,left_crossing_mm,right_crossing_mm,left_from_initial_left_mm,right_from_initial_left_mm
0.0,0.0,9.899999999999999,59.85,0.0,49.95
3.71528085301e-05,0.6012276431561767,14.609704369791162,59.79161672591267,4.709704369791163,49.89161672591267
7.41912154092e-05,1.2006039744539732,21.579612704296,59.375035414284774,11.679612704296002,49.475035414284775
0.000111310781048,1.8012936624466311,29.216749869937058,61.98724985384127,19.31674986993706,52.08724985384127
0.000148324497405,2.400270437829336,36.410760390286164,65.75258998953495,26.510760390286165,55.852589989534955
0.000185496469227,3.001808192152877,43.9468257894567,70.35925829628677,34.046825789456705,60.45925829628677
0.000222536468984,3.6012103002967195,51.70742661591619,75.38932068068694,41.80742661591619,65.48932068068694
0.000259559572857,4.200338989743073,59.637734794674444,80.5934135190404,49.737734794674445,70.6934135190404
0.000296691035677,4.801221204613134,67.62681200808976,85.87638718162374,57.72681200808976,75.97638718162375
0.0003,4.854768726319155,68.3364346710785,86.34833067051397,58.43643467107849,76.44833067051398
